component,item_id,item_label,parameter,value,unit,phase,source,source_type,confidence,notes
cluster_affinity,barmer_jodhpur:alkaline_1gw,Barmer-Jodhpur RE Corridor -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.14,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,barmer_jodhpur:ammonia_1mtpa,Barmer-Jodhpur RE Corridor -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.05,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,barmer_jodhpur:pem_500mw,Barmer-Jodhpur RE Corridor -> 500 MW PEM Electrolyser Plant,affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,barmer_jodhpur:solar_wind_hybrid_2gw,Barmer-Jodhpur RE Corridor -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.32,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,bina:alkaline_1gw,Bina Refinery Cluster -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.06,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,bina:ammonia_1mtpa,Bina Refinery Cluster -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,bina:pem_500mw,Bina Refinery Cluster -> 500 MW PEM Electrolyser Plant,affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,bina:solar_wind_hybrid_2gw,Bina Refinery Cluster -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,haldia:alkaline_1gw,Haldia Petrochemical Cluster -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.05,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,haldia:ammonia_1mtpa,Haldia Petrochemical Cluster -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,haldia:pem_500mw,Haldia Petrochemical Cluster -> 500 MW PEM Electrolyser Plant,affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,haldia:solar_wind_hybrid_2gw,Haldia Petrochemical Cluster -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.03,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,jamnagar:alkaline_1gw,Jamnagar Refinery Hub -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.12,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,jamnagar:ammonia_1mtpa,Jamnagar Refinery Hub -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,jamnagar:pem_500mw,Jamnagar Refinery Hub -> 500 MW PEM Electrolyser Plant,affinity_share,0.16,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,jamnagar:solar_wind_hybrid_2gw,Jamnagar Refinery Hub -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.05,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,kochi:alkaline_1gw,Kochi Refinery Cluster -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.05,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,kochi:ammonia_1mtpa,Kochi Refinery Cluster -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,kochi:pem_500mw,Kochi Refinery Cluster -> 500 MW PEM Electrolyser Plant,affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,kochi:solar_wind_hybrid_2gw,Kochi Refinery Cluster -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.02,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,kutch:alkaline_1gw,Kutch Hydrogen Valley -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.18,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,kutch:ammonia_1mtpa,Kutch Hydrogen Valley -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.14,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,kutch:pem_500mw,Kutch Hydrogen Valley -> 500 MW PEM Electrolyser Plant,affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,kutch:solar_wind_hybrid_2gw,Kutch Hydrogen Valley -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.2,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,mundra:alkaline_1gw,Mundra Industrial Hub -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.16,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,mundra:ammonia_1mtpa,Mundra Industrial Hub -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,mundra:pem_500mw,Mundra Industrial Hub -> 500 MW PEM Electrolyser Plant,affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,mundra:solar_wind_hybrid_2gw,Mundra Industrial Hub -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,paradip:alkaline_1gw,Paradip Petrochemical Corridor -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,paradip:ammonia_1mtpa,Paradip Petrochemical Corridor -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.15,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,paradip:pem_500mw,Paradip Petrochemical Corridor -> 500 MW PEM Electrolyser Plant,affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,paradip:solar_wind_hybrid_2gw,Paradip Petrochemical Corridor -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.04,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,tuticorin:alkaline_1gw,Tuticorin Industrial Port Cluster -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,tuticorin:ammonia_1mtpa,Tuticorin Industrial Port Cluster -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,tuticorin:pem_500mw,Tuticorin Industrial Port Cluster -> 500 MW PEM Electrolyser Plant,affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,tuticorin:solar_wind_hybrid_2gw,Tuticorin Industrial Port Cluster -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,vizag:alkaline_1gw,Vizag Port and Refinery Cluster -> 1 GW Alkaline Electrolyser Plant,affinity_share,0.08,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,vizag:ammonia_1mtpa,Vizag Port and Refinery Cluster -> 1 MTPA Green Ammonia Synthesis Plant,affinity_share,0.1,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,vizag:pem_500mw,Vizag Port and Refinery Cluster -> 500 MW PEM Electrolyser Plant,affinity_share,0.12,fraction,,internal HyGOAT modeling,modeled_choice,,
cluster_affinity,vizag:solar_wind_hybrid_2gw,Vizag Port and Refinery Cluster -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),affinity_share,0.06,fraction,,internal HyGOAT modeling,modeled_choice,,
pathway,2145.0500->2145.0100,"Chemical Engineer, Petroleum -> Chemical Engineer, General",reskill_cost_inr,120000,INR,,IRENA 2024 + TERI 2023,literature,high,"Training: certification via University continuing education. Bridging skills: Electrolyser balance-of-plant, Hydrogen hazard analysis, Green ammonia process integration"
pathway,2145.0500->2145.0100,"Chemical Engineer, Petroleum -> Chemical Engineer, General",reskill_months,4,months,,IRENA 2024 + TERI 2023,literature,high,"Training: certification via University continuing education. Bridging skills: Electrolyser balance-of-plant, Hydrogen hazard analysis, Green ammonia process integration"
pathway,2145.0500->2145.0100,"Chemical Engineer, Petroleum -> Chemical Engineer, General",skill_overlap,0.81,fraction,,IRENA 2024 + TERI 2023,literature,high,"Training: certification via University continuing education. Bridging skills: Electrolyser balance-of-plant, Hydrogen hazard analysis, Green ammonia process integration"
pathway,2145.0600->8131.2100,"Chemical Engineer, Fertilizers -> Ammonia Operator/ Ammonia Plant Operator",reskill_cost_inr,95000,INR,,Internal HyGOAT modeling,modeled_estimate,low,"Training: certification via NSDC / sector skill council. Bridging skills: Green hydrogen feed variability, Ammonia startup from renewable power, Electrolyser-ammonia coordination"
pathway,2145.0600->8131.2100,"Chemical Engineer, Fertilizers -> Ammonia Operator/ Ammonia Plant Operator",reskill_months,8,months,,Internal HyGOAT modeling,modeled_estimate,low,"Training: certification via NSDC / sector skill council. Bridging skills: Green hydrogen feed variability, Ammonia startup from renewable power, Electrolyser-ammonia coordination"
pathway,2145.0600->8131.2100,"Chemical Engineer, Fertilizers -> Ammonia Operator/ Ammonia Plant Operator",skill_overlap,0.58,fraction,,Internal HyGOAT modeling,modeled_estimate,low,"Training: certification via NSDC / sector skill council. Bridging skills: Green hydrogen feed variability, Ammonia startup from renewable power, Electrolyser-ammonia coordination"
pathway,3113.0200->3113.0105,Electrical Technician (High Voltage) -> Junior Engineer - Power Distribution,reskill_cost_inr,60000,INR,,Internal HyGOAT modeling,modeled_estimate,medium,"Training: on_the_job via OEM / EPC commissioning program. Bridging skills: Rectifier integration, Hydrogen plant interlocks, Electrolyser protection logic"
pathway,3113.0200->3113.0105,Electrical Technician (High Voltage) -> Junior Engineer - Power Distribution,reskill_months,4,months,,Internal HyGOAT modeling,modeled_estimate,medium,"Training: on_the_job via OEM / EPC commissioning program. Bridging skills: Rectifier integration, Hydrogen plant interlocks, Electrolyser protection logic"
pathway,3113.0200->3113.0105,Electrical Technician (High Voltage) -> Junior Engineer - Power Distribution,skill_overlap,0.74,fraction,,Internal HyGOAT modeling,modeled_estimate,medium,"Training: on_the_job via OEM / EPC commissioning program. Bridging skills: Rectifier integration, Hydrogen plant interlocks, Electrolyser protection logic"
pathway,3116.0500->3116.0600,"Laboratory Assistant, Petroleum and Lubricants -> Chemist, Water Purification/ Water Treatment",reskill_cost_inr,45000,INR,,Internal HyGOAT modeling,modeled_estimate,medium,"Training: certification via ITI / state skill university. Bridging skills: Demineralised water QA/QC, Electrolyte contamination checks, Hydrogen purity sampling"
pathway,3116.0500->3116.0600,"Laboratory Assistant, Petroleum and Lubricants -> Chemist, Water Purification/ Water Treatment",reskill_months,3,months,,Internal HyGOAT modeling,modeled_estimate,medium,"Training: certification via ITI / state skill university. Bridging skills: Demineralised water QA/QC, Electrolyte contamination checks, Hydrogen purity sampling"
pathway,3116.0500->3116.0600,"Laboratory Assistant, Petroleum and Lubricants -> Chemist, Water Purification/ Water Treatment",skill_overlap,0.69,fraction,,Internal HyGOAT modeling,modeled_estimate,medium,"Training: certification via ITI / state skill university. Bridging skills: Demineralised water QA/QC, Electrolyte contamination checks, Hydrogen purity sampling"
pathway,3122.1400->3122.5201,"Supervisor and Foreman, Petroleum Refining and Related Activities/Operator/Engineering Assistant (Mechanical) -> Maintenance Supervisor",reskill_cost_inr,65000,INR,,Internal HyGOAT modeling,modeled_estimate,medium,"Training: on_the_job via Employer-led transition academy. Bridging skills: Hydrogen permit-to-work, Turnaround planning for electrolysers, Safety case documentation"
pathway,3122.1400->3122.5201,"Supervisor and Foreman, Petroleum Refining and Related Activities/Operator/Engineering Assistant (Mechanical) -> Maintenance Supervisor",reskill_months,5,months,,Internal HyGOAT modeling,modeled_estimate,medium,"Training: on_the_job via Employer-led transition academy. Bridging skills: Hydrogen permit-to-work, Turnaround planning for electrolysers, Safety case documentation"
pathway,3122.1400->3122.5201,"Supervisor and Foreman, Petroleum Refining and Related Activities/Operator/Engineering Assistant (Mechanical) -> Maintenance Supervisor",skill_overlap,0.67,fraction,,Internal HyGOAT modeling,modeled_estimate,medium,"Training: on_the_job via Employer-led transition academy. Bridging skills: Hydrogen permit-to-work, Turnaround planning for electrolysers, Safety case documentation"
pathway,3134.0100->8131.2100,"Continuous Still Operator, Petroleum -> Ammonia Operator/ Ammonia Plant Operator",reskill_cost_inr,85000,INR,,IRENA 2024 + internal HyGOAT modeling,modeled_estimate,medium,"Training: certification via NSDC / Skill India. Bridging skills: Ammonia loop process control, High-pressure hydrogen safety, Cryogenic utilities handover"
pathway,3134.0100->8131.2100,"Continuous Still Operator, Petroleum -> Ammonia Operator/ Ammonia Plant Operator",reskill_months,6,months,,IRENA 2024 + internal HyGOAT modeling,modeled_estimate,medium,"Training: certification via NSDC / Skill India. Bridging skills: Ammonia loop process control, High-pressure hydrogen safety, Cryogenic utilities handover"
pathway,3134.0100->8131.2100,"Continuous Still Operator, Petroleum -> Ammonia Operator/ Ammonia Plant Operator",skill_overlap,0.78,fraction,,IRENA 2024 + internal HyGOAT modeling,modeled_estimate,medium,"Training: certification via NSDC / Skill India. Bridging skills: Ammonia loop process control, High-pressure hydrogen safety, Cryogenic utilities handover"
pathway,3134.0400->8131.2100,Control Man (Petroleum Refining) -> Ammonia Operator/ Ammonia Plant Operator,reskill_cost_inr,70000,INR,,CEEW 2024 + internal HyGOAT modeling,modeled_estimate,medium,"Training: on_the_job via Employer-led transition academy. Bridging skills: Electrolyser interface procedures, Ammonia synthesis alarms, Hydrogen purity control"
pathway,3134.0400->8131.2100,Control Man (Petroleum Refining) -> Ammonia Operator/ Ammonia Plant Operator,reskill_months,5,months,,CEEW 2024 + internal HyGOAT modeling,modeled_estimate,medium,"Training: on_the_job via Employer-led transition academy. Bridging skills: Electrolyser interface procedures, Ammonia synthesis alarms, Hydrogen purity control"
pathway,3134.0400->8131.2100,Control Man (Petroleum Refining) -> Ammonia Operator/ Ammonia Plant Operator,skill_overlap,0.72,fraction,,CEEW 2024 + internal HyGOAT modeling,modeled_estimate,medium,"Training: on_the_job via Employer-led transition academy. Bridging skills: Electrolyser interface procedures, Ammonia synthesis alarms, Hydrogen purity control"
pathway,7233.1201->7233.0706,Power Plant Millwright Fitter -> Mechanic (Electrical Electronics Instrumentation),reskill_cost_inr,90000,INR,,Internal HyGOAT modeling,modeled_estimate,low,"Training: diploma via Advanced maintenance institute. Bridging skills: Compressor diagnostics, Hydrogen-compatible seals, Instrumentation for process skids"
pathway,7233.1201->7233.0706,Power Plant Millwright Fitter -> Mechanic (Electrical Electronics Instrumentation),reskill_months,6,months,,Internal HyGOAT modeling,modeled_estimate,low,"Training: diploma via Advanced maintenance institute. Bridging skills: Compressor diagnostics, Hydrogen-compatible seals, Instrumentation for process skids"
pathway,7233.1201->7233.0706,Power Plant Millwright Fitter -> Mechanic (Electrical Electronics Instrumentation),skill_overlap,0.63,fraction,,Internal HyGOAT modeling,modeled_estimate,low,"Training: diploma via Advanced maintenance institute. Bridging skills: Compressor diagnostics, Hydrogen-compatible seals, Instrumentation for process skids"
scenario,adani_kutch_ph1,Adani Kutch Phase 1,target_mt,1.3,MT H2/year,,"Adani Kutch Phase 1 - 1.3 MT H2/year (~9 GW electrolyser) feeding 1 MTPA ammonia export plant. 100% alkaline, dedicated RE. Illustrative of announced project scale.",policy_target,,
scenario,nghm_10mt_2035,NGHM 10 MT Ambitious,target_mt,10,MT H2/year,,"Ambitious stretch target of 10 million tonnes per annum by 2035, requiring accelerated electrolyser deployment and workforce scale-up.",policy_target,,
scenario,nghm_10mt_2035_mix,10 MT Ambitious (Mixed),target_mt,10,MT H2/year,,"Ambitious 10 MT target with 50/50 alkaline/PEM split, 70% to ammonia, and 3.0x RE overprovisioning for round-the-clock supply.",policy_target,,
scenario,nghm_1mt_2027,NGHM 1 MT Pilot,target_mt,1,MT H2/year,,"Near-term pilot target of 1 million tonne per annum green hydrogen, testing domestic electrolyser manufacturing and early project delivery.",policy_target,,
scenario,nghm_1mt_2027_alk,1 MT Pilot (Alkaline + Ammonia + RE),target_mt,1,MT H2/year,,"Near-term 1 MT pilot with 100% alkaline electrolysis, 50% conversion to ammonia, and dedicated RE. Full value chain workforce estimate.",policy_target,,
scenario,nghm_5mt_2030,NGHM 5 MT by 2030,target_mt,5,MT H2/year,,National Green Hydrogen Mission target of 5 million tonnes per annum by 2030.,policy_target,,
scenario,nghm_5mt_2030_mix,5 MT by 2030 (Mixed),target_mt,5,MT H2/year,,"5 MT target with 60/40 alkaline/PEM split, 70% to ammonia, dedicated RE. Reflects India's planned technology diversification.",policy_target,,
scenario_composition,adani_kutch_ph1:alkaline_1gw,Adani Kutch Phase 1 -> 1 GW Alkaline Electrolyser Plant,share,1.0,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Adani Kutch Phase 1 - 1.3 MT H2/year (~9 GW electrolyser) feeding 1 MTPA ammonia export plant. 100% alkaline, dedicated RE. Illustrative of announced project scale."
scenario_composition,adani_kutch_ph1:ammonia_1mtpa,Adani Kutch Phase 1 -> 1 MTPA Green Ammonia Synthesis Plant,conversion_share,1.0,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Adani Kutch Phase 1 - 1.3 MT H2/year (~9 GW electrolyser) feeding 1 MTPA ammonia export plant. 100% alkaline, dedicated RE. Illustrative of announced project scale."
scenario_composition,adani_kutch_ph1:solar_wind_hybrid_2gw,Adani Kutch Phase 1 -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),re_ratio_gw_per_gw_electrolyser,2.5,GW RE/GW electrolyser,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Adani Kutch Phase 1 - 1.3 MT H2/year (~9 GW electrolyser) feeding 1 MTPA ammonia export plant. 100% alkaline, dedicated RE. Illustrative of announced project scale."
scenario_composition,nghm_10mt_2035_mix:alkaline_1gw,10 MT Ambitious (Mixed) -> 1 GW Alkaline Electrolyser Plant,share,0.5,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Ambitious 10 MT target with 50/50 alkaline/PEM split, 70% to ammonia, and 3.0x RE overprovisioning for round-the-clock supply."
scenario_composition,nghm_10mt_2035_mix:ammonia_1mtpa,10 MT Ambitious (Mixed) -> 1 MTPA Green Ammonia Synthesis Plant,conversion_share,0.7,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Ambitious 10 MT target with 50/50 alkaline/PEM split, 70% to ammonia, and 3.0x RE overprovisioning for round-the-clock supply."
scenario_composition,nghm_10mt_2035_mix:pem_500mw,10 MT Ambitious (Mixed) -> 500 MW PEM Electrolyser Plant,share,0.5,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Ambitious 10 MT target with 50/50 alkaline/PEM split, 70% to ammonia, and 3.0x RE overprovisioning for round-the-clock supply."
scenario_composition,nghm_10mt_2035_mix:solar_wind_hybrid_2gw,10 MT Ambitious (Mixed) -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),re_ratio_gw_per_gw_electrolyser,3.0,GW RE/GW electrolyser,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Ambitious 10 MT target with 50/50 alkaline/PEM split, 70% to ammonia, and 3.0x RE overprovisioning for round-the-clock supply."
scenario_composition,nghm_1mt_2027_alk:alkaline_1gw,1 MT Pilot (Alkaline + Ammonia + RE) -> 1 GW Alkaline Electrolyser Plant,share,1.0,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Near-term 1 MT pilot with 100% alkaline electrolysis, 50% conversion to ammonia, and dedicated RE. Full value chain workforce estimate."
scenario_composition,nghm_1mt_2027_alk:ammonia_1mtpa,1 MT Pilot (Alkaline + Ammonia + RE) -> 1 MTPA Green Ammonia Synthesis Plant,conversion_share,0.5,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Near-term 1 MT pilot with 100% alkaline electrolysis, 50% conversion to ammonia, and dedicated RE. Full value chain workforce estimate."
scenario_composition,nghm_1mt_2027_alk:solar_wind_hybrid_2gw,1 MT Pilot (Alkaline + Ammonia + RE) -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),re_ratio_gw_per_gw_electrolyser,2.5,GW RE/GW electrolyser,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"Near-term 1 MT pilot with 100% alkaline electrolysis, 50% conversion to ammonia, and dedicated RE. Full value chain workforce estimate."
scenario_composition,nghm_5mt_2030_mix:alkaline_1gw,5 MT by 2030 (Mixed) -> 1 GW Alkaline Electrolyser Plant,share,0.6,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"5 MT target with 60/40 alkaline/PEM split, 70% to ammonia, dedicated RE. Reflects India's planned technology diversification."
scenario_composition,nghm_5mt_2030_mix:ammonia_1mtpa,5 MT by 2030 (Mixed) -> 1 MTPA Green Ammonia Synthesis Plant,conversion_share,0.7,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"5 MT target with 60/40 alkaline/PEM split, 70% to ammonia, dedicated RE. Reflects India's planned technology diversification."
scenario_composition,nghm_5mt_2030_mix:pem_500mw,5 MT by 2030 (Mixed) -> 500 MW PEM Electrolyser Plant,share,0.4,fraction,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"5 MT target with 60/40 alkaline/PEM split, 70% to ammonia, dedicated RE. Reflects India's planned technology diversification."
scenario_composition,nghm_5mt_2030_mix:solar_wind_hybrid_2gw,5 MT by 2030 (Mixed) -> 2 GW Hybrid Solar+Wind Farm (Dedicated RE),re_ratio_gw_per_gw_electrolyser,2.5,GW RE/GW electrolyser,,internal HyGOAT modeling (scenario composition choice),modeled_choice,,"5 MT target with 60/40 alkaline/PEM split, 70% to ammonia, dedicated RE. Reflects India's planned technology diversification."
staffing_coefficient,alkaline_1gw:1120,1 GW Alkaline Electrolyser Plant: Managing Directors and Chief Executives,headcount_per_unit,15,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Senior oversight during commissioning and handover.
staffing_coefficient,alkaline_1gw:1120,1 GW Alkaline Electrolyser Plant: Managing Directors and Chief Executives,headcount_per_unit,60,workers/unit,construction,IRENA 2024,modeled_estimate,,"Allocated from IRENA aggregate using H2 relevance weights. Project directors, site managers, and senior leadership."
staffing_coefficient,alkaline_1gw:1120,1 GW Alkaline Electrolyser Plant: Managing Directors and Chief Executives,headcount_per_unit,15,workers/unit,operations,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Plant director and department heads.
staffing_coefficient,alkaline_1gw:1321,1 GW Alkaline Electrolyser Plant: Manufacturing Managers,headcount_per_unit,20,workers/unit,commissioning,IRENA 2024,modeled_estimate,,Allocated from IRENA aggregate using H2 relevance weights. Commissioning management and handover coordination.
